,X,Normalisation,Threshold,Go_BP,Go_MF,Go_CC,Total,DEs
1,1,QPROT,1.00E-06,0,0,0,0,0
2,1,QPROT,2.00E-06,0,0,0,0,0
3,1,QPROT,3.00E-06,0,0,0,0,0
4,1,QPROT,4.00E-06,0,0,0,0,0
5,1,QPROT,5.00E-06,0,0,0,0,0
6,1,QPROT,6.00E-06,0,0,0,0,0
7,1,QPROT,7.00E-06,0,0,0,0,0
8,1,QPROT,8.00E-06,0,0,0,0,0
9,1,QPROT,9.00E-06,0,0,0,0,0
10,1,QPROT,1.00E-05,0,0,0,0,0
11,1,QPROT,2.00E-05,0,0,0,0,0
12,1,QPROT,3.00E-05,0,0,0,0,0
13,1,QPROT,4.00E-05,0,0,0,0,0
14,1,QPROT,5.00E-05,0,0,0,0,0
15,1,QPROT,6.00E-05,0,0,0,0,0
16,1,QPROT,7.00E-05,0,0,0,0,0
17,1,QPROT,8.00E-05,0,0,0,0,0
18,1,QPROT,9.00E-05,0,0,0,0,0
19,1,QPROT,1.00E-04,0,0,0,0,0
20,1,QPROT,2.00E-04,0,0,0,0,23
21,1,QPROT,3.00E-04,0,0,0,0,53
22,1,QPROT,4.00E-04,0,0,0,0,69
23,1,QPROT,5.00E-04,0,0,0,0,96
24,1,QPROT,6.00E-04,0,0,0,0,113
25,1,QPROT,7.00E-04,0,0,0,0,130
26,1,QPROT,8.00E-04,0,0,0,0,142
27,1,QPROT,9.00E-04,0,0,0,0,152
28,1,QPROT,0.001,0,0,0,0,163
29,1,QPROT,0.002,0,0,0,0,232
30,1,QPROT,0.003,0,0,0,0,268
31,1,QPROT,0.004,0,0,0,0,295
32,1,QPROT,0.005,0,0,0,0,320
33,1,QPROT,0.006,0,0,0,0,341
34,1,QPROT,0.007,0,0,0,0,353
35,1,QPROT,0.008,0,0,0,0,366
36,1,QPROT,0.009,0,0,0,0,391
37,1,QPROT,0.01,0,0,0,0,409
38,1,QPROT,0.02,0,0,1,1,538
39,1,QPROT,0.03,0,0,0,0,614
40,1,QPROT,0.04,0,0,0,0,703
41,1,QPROT,0.05,1,0,0,1,758
42,1,QPROT,0.06,1,0,0,1,786
43,1,QPROT,0.07,1,0,0,1,831
44,1,QPROT,0.08,1,0,0,1,876
45,1,QPROT,0.09,0,0,0,0,907
46,1,QPROT,0.1,0,0,0,0,944
